"","Level 10 :","Impetus","Toughness","Level 25 :","Flashfire","","Level 45 :","AP +1","","","Weapon Set 1","Sol Pattern Chainsword","Carnage","Carnage","Carnage","","","Level 10 :","Dance Partners","Agility","Level 25 :","Master of Torture","","Level 45 :","AP +1","","","Weapon Set 1","Noble Sword","Severed Hand","Sharpened Venom Blade","Imminent Torment","","","Level 10 :","Open Engagement","Strength","Level 25 :","Renitent beacon","","Level 45 :","AP +1","","","Weapon Set 1","Sol Pattern Chainsword","Heavy Maul","Heavy Maul","Tearing Vengeance / Bonecracker","","","Level 10 :","Facing the End","Agility","Level 25 :","Flashfire","","Level 45 :","AP +1","","","Weapon Set 1","Noble Sword","Anver Chainsword","Duelling Sword","Duelling Sword","","","Level 10 :","Impetus","Toughness","Level 25 :","Flashfire","","Level 45 :","AP +1","","","Weapon Set 1","Sol Pattern Chainsword","Epiphany","Epiphany","Tearing Vengeance / Bonecracker","","","Level 10 :","Facing the End","Agility","Level 25 :","Personal Involvement","","Level 45 :","AP +1","","","Weapon Set 1","Noble Sword","Anver Chainsword","Duelling Sword","Duelling Sword","","","Level 10 :","Blade Flurry","Agility","Level 25 :","Imminent Demise","","Level 45 :","AP +1","","","Weapon Set 1","Prisoner's Shank","Interrogators Dagger / Hekatarii Blade ","Interrogators Dagger / Serrated Glimmersteel Blade","Lilaethan's Fury / Interrogators Dagger","","","","","","","","","","","","","","","","","",""
"","Level 11 :","Reckless Strike","Duelling Mastery","Level 26 :","Athletics","Toughness","Level 46 :","Contempt","Carouse","","","Balanced Maul / Power Pick","Epiphany","Epiphany","Tearing Vengence","","","Level 11 :","Acrobatic Artistry","Facing the End","Level 26 :","Agility","Medicae","Level 46 :","Escape Artist","Awareness","","","Wrath of Saint Drusus","Exotic Venom Blade","Blackhaze Venom Blade","Imminent Torment","","","Level 11 :","Reckless Strike","Heavy Armour Proficiency","Level 26 :","Athletics","Toughness","Level 46 :","Easy Target","Carouse","","","Stronghold","Radiant Shield","Heavy Shield","Advanced Shield","","","Level 11 :","Acrobatic Artistry","Rising Tempo","Level 26 :","Medicae","Agility","Level 46 :","Spinning Blades","Awareness","","","Foehammer / Corrupted Inferno Pistol","Needle Pistol / Orthlack-Pattern Stub Revolver","Needle Pistol / Orthlack-Pattern Stub Revolver","Anti-Vehicle Revolver / Daredevil Pistol / Tyrant","","","Level 11 :","Reckless Strike","Duelling Mastery","Level 26 :","Athletics","Toughness","Level 46 :","Desolation","Carouse","","","Foehammer","Ryza-Pattern Foehammer","Bloody Vigil","Sol Pattern Laspistol","","","Level 11 :","Acrobatic Artistry","Dance Partners","Level 26 :","Medicae","Agility","Level 46 :","Rising Tempo","Awareness","","","Wrath of Saint Drusus","Elite Chainsword","","","","","Level 11 :","Reckless Strike","Get off Me!","Level 26 :","Agility","Awareness","Level 46 :","Ramming Speed","Athletics","","","Bloody Pact","Hekatarii Blade ","Hekatarii Blade of Bloodthirst","Hekatarii Blade of Bloodthirst","","","","","","","","","","","","","","","","","",""
"","Level 12 :","Toughness","Carouse","Level 27 :","Steady Superiority IV","","Level 47 :","Desolation","Medicae","","Weapon Set 2","Retobi-Pattern Greatsword","Wrath of the Vile Rabble","Wrath of the Vile Rabble","Well-Maintained Rocksaw","","","Level 12 :","Agility","Awareness","Level 27 :","Carnival of Misery III","","Level 47 :","Duellist","Awareness","","Weapon Set 2","","","","","","","Level 12 :","Toughness","Carouse","Level 27 :","Unyelding Guard II","","Level 47 :","Contempt","Medicae","","Weapon Set 2","Balanced Maul","Epiphany","Emergency Cutter","Well Maintained Rocksaw","","","Level 12 :","Agility","Awareness","Level 27 :","Steady Superiority IV","","Level 47 :","Race Against Death","Demolition","","Weapon Set 2","Wrath of Saint Drusus","Wasteland Twister / Quick-Firing Las Pistol","Heavy Greatsword / Quick-Firing Las Pistol","Righteous Justice / Quick-Firing Las Pistol","","","Level 12 :","Toughness","Carouse","Level 27 :","Steady Superiority IV","","Level 47 :","Contempt","Medicae","","Weapon Set 2","Retobi-Pattern Greatsword","Wrath of the Vile Rabble","Wrath of the Vile Rabble","Well-Maintained Heavy Rock saw","","","Level 12 :","Agility","Awareness","Level 27 :","Orchestrated Firestorm III","","Level 47 :","Guillotine","Awareness","","Weapon Set 2","","","","","","","Level 12 :","Agility","Carouse","Level 27 :","Dispatch II","","Level 47 :","Impetus","Medicae","","Weapon Set 2","","","Bloodseeker Klaive","Djin Blade of Yremeryss","","","","","","","","","","","","","","","","","",""
"","Level 13 :","Reckless Fury","Carouse","Level 28 :","Carouse","Adaptability","Level 48 :","Contempt for the Weak","Toughness","","","","Blade of Sorrow","Blade of Sorrow","","","","Level 13 :","Wounded Beast","Demolition","Level 28 :","Perfect Anatomy","","Level 48 :","Deep Laceration","Agility","","","","","","","","","Level 13 :","Reckless Fury","Carouse","Level 28 :","Resilient beacon","","Level 48 :","Unyielding Resolve","Toughness","","","Stronghold","Radiant Shield","","","","","Level 13 :","Never Stop Believing","Demolition","Level 28 :","Awareness","Adaptability","Level 48 :","Contempt for the Weak","Agility","","","Sol Pattern Chainsword","Hot Shot Lasgun","Begger's Weapon","Begger's Weapon","","","Level 13 :","Crowd Kill","Carouse","Level 28 :","Carouse","Adaptability","Level 48 :","Contempt for the Weak","Toughness","","","","Blade of Sorrow","Blade of Sorrow","","","","Level 13 :","Get off Me!","Demolition","Level 28 :","Against All Odds","","Level 48 :","Support the Advance","Agility","","","","","","","","","Level 13 :","Cautious Disengage","Carouse","Level 28 :","Finesse","Killing Spree","Level 48 :","An Eye for the Unscathed","Agility","","","","","","Insatiable Djin Blade","","","","","","","","","","","","","","","","","",""
"","Level 14 :","Strength","Heavy Armour Proficiency","Level 29 :","Perception","Dual Weapon Specialist","Level 49 :","Perception","Medicae","","","","","","","","","Level 14 :","Perception","Sweeping Motions","Level 29 :","Perception","Medicae","Level 49 :","Perception","Awareness","","","","","","","","","Level 14 :","Toughness","Steel of the forge","Level 29 :","Carouse","Perception","Level 49 :","Strength","Medicae","","","","","","","","","Level 14 :","Perception","Sweeping Motions","Level 29 :","Perception","Stentorian Voice","Level 49 :","Perception","Demolition","","","","","","","","","Level 14 :","Strength","Heavy Armour Proficiency","Level 29 :","Perception","Dual-Weapon Combat","Level 49 :","Strength","Medicae","","","","","","","","","Level 14 :","Perception","Sweeping Motions","Level 29 :","Demolition","Perception","Level 49 :","Perception","Awareness","","","","","","","","","Level 14 :","Perception","Stentorian Voice","Level 29 :","Perception","Athletics","Level 49 :","Perception","Medicae","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 15 :","Daring Breach IV","","Level 30 :","Kick","","Level 50 :","Eagar for battle","Trusty Weapons","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Death Waltz III","","Level 30 :","Exsanguination","Finesse","Level 50 :","Extermination","Rising Tempo","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Daring Breach IV","","Level 30 :","Forced Distraction","","Level 50 :","Extermination","Hardened Scars","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Death Waltz III","","Level 30 :","Devastating Attack","","Level 50 :","Degraded Defence","It Takes Two","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Daring Breach IV","","Level 30 :","Kick","","Level 50 :","Extermination","Interception","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Death Waltz III","","Level 30 :","Jinx / Stenterian Voice","Fervour","Level 50 :","Extermination","It Takes Two","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Daring Breach IV","","Level 30 :","Death Whisper","","Level 50 :","Extermination","Living Shield","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","","","","","","","","","","","","","","","",""
"","","","","Level 31 :","Martial Art","","Level 51 :","Focal Point","Medicae","","Focal Emitter MK-I","Galvanic Carapace","","","Galvanic Inductor","","Act 2","","","","Level 31 :","Fragile Playthings","","Level 51 :","Acute Pain","Demolition","","Focal Emitter MK-I","Galvanic Carapace","Telemetric Logis Analyser MKI","Relic Augment","Galvanic Inductor","","Act 2","","","","Level 31 :","Taunting Opportunity","","Level 51 :","Defensive Comrade","Medicae","","Focal Emitter MK-I","Galvanic Carapace","Telemetric Logis Analyser MKI","","","Hydraulic Booster","","","","","Level 31 :","Breaking Attack","","Level 51 :","Preferred Targets","Demolition","","Focal Emitter MK Soldier / MK-I","Adaptive Hemo-Filter MK","Cerebral Inverter MK-I","","","Skullcrushers","Act 2","","","","Level 31 :","Armsmaster","","Level 51 :","Martial Art","Medicae","","Focal Emitter MK-I","Weapon Optimiser MKI","","","","Skullcrushers","Act 2","","","","Level 31 :","Stacking the Deck","","Level 51 :","Logistical Superiority","Demolition","","Focal Emitter MK-I","","","","","Skullcrushers","","","","","Level 31 :","Dual Weapon Combat","Disarray","Level 51 :","Bringer of Doom","Medicae","","Focal Emitter MK-I","Adaptive Hemo-Filter","","","","Skullcrushers","","","","","","","","","","","","","","","","",""
"","","","","Level 32 :","Perception","Carouse","Level 52 :","Preferred Targets","Residual Power","","Focal Emitter MK-I","Galvanic Carapace","","","Galvanic Inductor","","Act 3","","","","Level 32 :","Perception","Demolition","Level 52 :","Race Against Death","Residual Power","","Focal Emitter MK-I","Galvanic Carapace","Telemetric Logis Analyser MKI","Chymist Combat Infuser","Galvanic Inductor","","Act 3","","","","Level 32 :","Perception","Carouse","Level 52 :","Stentorian Voice","Residual Power","","Focal Emitter MK-I","Galvanic Carapace","Telemetric Logis Analyser MKI","","","Hydraulic Booster","","","","","Level 32 :","Perception","Awareness","Level 52 :","Blade in His Hand","Residual Power","","Focal Emitter MK Soldier / MK-I","Adaptive Hemo-Filter MK","Cerebral Inverter MK-I","","Pneumatic Assault Grapple MK-I","Skullcrushers","Act 3","","","","Level 32 :","Perception","Carouse","Level 52 :","Preferred Targets","Residual Power","","Focal Emitter MK-I","Weapon Optimiser MKI","","","","Skullcrushers","Act 3","","","","Level 32 :","Perception","Demolition","Level 52 :","Duellist","Lethal Precision","","Focal Emitter MK-I","","Cerebral Inverter MK 'Tactician'","","","Skullcrushers","","","","","Level 32 :","Athletics","","Level 52 :","Outsmart","Residual Power","","Focal Emitter MK-I","Adaptive Hemo-Filter","Telemetric Logis-Analyser MK-I","Pneumatic Assault Grapple MK-I","","Skullcrushers","","","","","","","","","","","","","","","","",""
"","","","","Level 33 :","Critical Versatility","Perception","Level 53 :","Taunting Scream","Strength","","Focal Emitter MKII","Galvanic Carapace ","Telemetric Logis Analyser MKII","","Motive Blessed Bionic","","Act 4","","","","Level 33 :","Racking Weakness","","Level 53 :","Veil of Blades","Perception","","Focal Emitter MKII","Galvanic Carapace ","Telemetric Logis Analyser MKII","Chymist Combat Infuser","Motive Blessed Bionic","","Act 4","","","","Level 33 :","Taunting Defence","","Level 53 :","Bulwark","Strength","","Focal Emitter MKII","Galvanic Carapace","Telemetric Logis Analyser MKII","Pneumatic Assault Grapple MK II","","Hydraulic Booster","","","","","Level 33 :","Critical Versatility","Perception","Level 53 :","Veil of Blades","Perception","","Focal Emitter MK Soldier / MK-II","Adaptive Hemo-Filter MK","Cerebral Inverter MK-II","","Pneumatic Assault Grapple MK-II","Skullcrushers","Act 4","","","","Level 33 :","Critical Versatility","Perception","Level 53 :","Taunting Scream","Strength","","Focal Emitter MKII","Weapon Optimiser MK AM","","","","Skullcrushers","Act 4","","","","Level 33 :","Brink of Death","","Level 53 :","Strongpoint","Perception","","Focal Emitter MK-II","","Cerebral Inverter MK 'Tactician'","","","Phase Oscillator MK Tactician","","","","","Level 33 :","Seize the Advantage","Perception","Level 53 :","Sworn Enemy","Perception","","Focal Emitter MK-II","Adaptive Hemo-Filter","Telemetric Logis Analyser MK-II","Pneumatic Assault Grapple MK 'Assassin'","Chymist Combat Infuser *optional*","Phase Oscillator MK-II","","","","","","","","","","","","","","","","",""
"","","","","Level 34 :","Perception","Power Armour Proficiency","Level 54 :","Extermination","Accustomed to Glory","","","","","","","","Act 5","","","","Level 34 :","Perception","Get off Me!","Level 54 :","Eager for battle","Anticipation","","","","","","","","Act 5","","","","Level 34 :","Shield Mastery","","Level 54 :","Eager for battle","On your feet!","","","","","","","","","","","","Level 34 :","Strength","Power Armour Proficiency","Level 54 :","Vital Points","Accustomed to Glory","","","","","","","","Act 5","","","","Level 34 :","Perception","Power Armour Proficiency","Level 54 :","Eagar for battle","Distract","","","","","","","","Act 5","","","","Level 34 :","Perception","Be Smart","Level 54 :","Eager for Battle","Stronghold","","","","","","","","","","","","Level 34 :","Aeldari Weapon Prof","","Level 54 :","Peak Condition","Esquive","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Carnival of Misery IV","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Unyelding Guard III","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Orchestrated Firestorm II","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Dispatch III","","Level 55 :","AP +1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Arch-Cardinal ","","","","","","","","","","Skill Options","","","","","","","God Emperor's Wrath","","","","","","","","","","Skill Options","","","","","","","Every Shell a Prayer","","","","","","","","","","Skill Options","","","","","","","Argenta at Home","","","","","","","","","","Skill Options","","","","","","","High Lord of Terra","","","","","","","","","","Skill Options","","","","","","","Arc Bishop","","","","","","","","","","Skill Options","","","","","","","Ecclesiarchy Hierophant","","","","","","","","","","Skill Options","","","","","","","","","","","","","","","","","","","","","",""
"","Death World - Ministorum Priest - Bladedancer - Weapon Skill +2 - Agility +2 - Perception +2","","","","","","","","","","Medicae / Demolition","","","","","","","Fortress World - Ministorum Priest - Soldier - Ballistic Skill +2 / Agility +2 / Perception +1 / Willpower +1","","","","","","","","","","Demolition / Awareness","","","","","","","Fortress World - Ministorum Priest - Soldier - Ballistic Skill +2 / Agility +2 / Perception +1 / Willpower +1","","","","","","","","","","Demolition / Awareness","","","","","","","Fortress World - Ministorum Priest - Soldier - Ballistic Skill +2 / Agility +2 / Perception +1 / Willpower +1","","","","","","","","","","Demolition / Awareness","","","","","","","Death World - Ministorum Priest - Warrior - Weapon Skill +2 / Strength +1 / Agility +1 / Perception +2","","","","","","","","","","Medicae / Athletics / Demolition / Carouse","","","","","","","Voidborn - Ministorum Priest - Soldier - Ballistic Skill +2 / Intelligence +2 / Perception +1 / Willpower +1","","","","","","","","","","Demolition / Awareness","","","","","","","Fortress World - Priest - Soldier - Ballistic Skill +2 / Agility +2 / Perception +1 / Willpower +1","","","","","","","","","","Demolition / Awareness","","","","","","","","","","","","","","","","","","","","","",""
